image_id	source_width	source_height	resized_width	resized_height	pad_left	pad_right	pad_top	pad_bottom	unique_annotation_rgb_values	crop_weed_channel_overlap_pixels	crop_pixels_on_canvas	weed_pixels_on_canvas
039	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3313	5617
040	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3346	28223
041	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	4106	10081
042	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3007	8647
043	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2898	4489
044	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3485	4333
045	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5311	14908
046	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	1287	5214
047	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2077	6605
048	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	2407	8124
049	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	7434	2157
050	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0]]	0	4272	0
051	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	7368	28918
052	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	8242	22203
053	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3014	10378
054	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	8272	16845
055	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	11554	12989
056	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3925	21341
057	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	467	27328
058	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	6658	32222
059	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	3286	26801
060	1296	966	600	447	0	0	76	77	[[0,0,0],[0,255,0],[255,0,0]]	0	5731	23430
